browse_name,node_id,variant_type,access_level,user_access_level,current_value,numeric,finite,live_validated,read_error
time,FourByteNodeId(i=10004),Variant,,,9.76,Y,Y,Y,
vppHPSplitter.pro.T,NumericNodeId(ns=1;i=150002811),Variant,,,807.252199425255,Y,Y,Y,
vppHPSplitter.pro.cp,NumericNodeId(ns=1;i=100011994),Variant,,,2643.071101652349,Y,Y,Y,
vppHPSplitter.pro.d,NumericNodeId(ns=1;i=100011995),Variant,,,37.23146861767364,Y,Y,Y,
vppHPSplitter.pro.ddhp,NumericNodeId(ns=1;i=100011996),Variant,,,-2.4611848611798432e-05,Y,Y,Y,
vppHPSplitter.pro.ddph,NumericNodeId(ns=1;i=100011997),Variant,,,2.9561963843730013e-06,Y,Y,Y,
vppHPSplitter.pro.duhp,NumericNodeId(ns=1;i=100011998),Variant,,,0.7748471730377636,Y,Y,Y,
vppHPSplitter.pro.duph,NumericNodeId(ns=1;i=100011999),Variant,,,0.0001847216565605582,Y,Y,Y,
vppHPSplitter.pro.s,NumericNodeId(ns=1;i=100012000),Variant,,,6572.074783367444,Y,Y,Y,
vppHPSplitter.pro.u,NumericNodeId(ns=1;i=100012001),Variant,,,3092340.5944209513,Y,Y,Y,
vppHPSplitter.pro.x,NumericNodeId(ns=1;i=100012002),Variant,,,1.0,Y,Y,Y,
vppHPSprayFlowCommand.signal,NumericNodeId(ns=1;i=100012003),Variant,,,0.0,Y,Y,Y,
vppHPSprayInjector.C1.P,NumericNodeId(ns=1;i=150002812),Variant,,,2726700.0533986217,Y,Y,Y,
vppHPSprayInjector.C1.Q,NumericNodeId(ns=1;i=150002813),Variant,,,0.0,Y,Y,Y,
vppHPSprayInjector.C1.a,NumericNodeId(ns=1;i=200000324),Variant,,,True,Y,Y,Y,
vppHPSprayInjector.C1.b,NumericNodeId(ns=1;i=250000351),Variant,,,True,Y,Y,Y,
vppHPSprayInjector.C2.P,NumericNodeId(ns=1;i=150002816),Variant,,,2726700.0533986217,Y,Y,Y,
vppHPSprayInjector.C2.Q,NumericNodeId(ns=1;i=150002817),Variant,,,0.0,Y,Y,Y,
vppHPSprayInjector.C2.a,NumericNodeId(ns=1;i=250000352),Variant,,,True,Y,Y,Y,
vppHPSprayInjector.C2.b,NumericNodeId(ns=1;i=200000325),Variant,,,True,Y,Y,Y,
vppHPSprayInjector.C2.h_vol,NumericNodeId(ns=1;i=150002819),Variant,,,3040245.4281547945,Y,Y,Y,
